"id","name","type","lead_source","amount","close_date","stage","probability","expected_revenue","next_step","order_number","description","competitor","delivery_installation_status","reason_for_close","lead_source_description","main_competitor","tracking_number","current_generator","delivery_installation_comments","is_private","product_interest","external_id","contact_id"
13,"Mason, Mills and Norton",Existing Business,Event/Seminar,24441.02,2024-04-28,Prospecting,60.02,22351.26,"Threat next foot house.
Tree term serious likely issue before. One likely end home. Sit try inside staff.
This within future. Dog contain focus blood on. Final able offer particular option.","2044e4d9-2ac8-4c29-94f3-d922ad2493f2",Initial Inquiry,Competitor C,Completed,"Similar cultural adult what weight then. Require respond race general rule lay figure.
Either land page around. This south nation better style. Little church myself major break.",Course option particularly model themselves hard price. Ahead stay read though fast. Alone plan current stage method.,"Kemp, Foster and Mullen","6aa5dace-d84b-4cae-8723-33f3427d9eac",Thomas Galvan,"Medical tax property. Offer last design whose prepare local. Service civil use almost.
Most wind series sometimes foreign down line task. Strategy purpose Republican relate recognize make.",false,Product C,"4427fab7-4ee4-4c4a-9960-348d5f3d4180",11
14,Farley PLC,Partnership,Advertisement,25235.66,2023-12-15,Closed Lost,60.03,47755.28,"Them approach movie shoulder. Employee quickly husband yard north.
Important technology fish get president house. You size television. Before window relate.","0ba2775f-9ed5-471e-802d-190e4d545810",Initial Inquiry,Competitor A,Delayed,"Popular term front forget.
Their store she herself morning beautiful pick. Prevent explain yourself life strategy.
Page answer team region though.",Task important same environmental decade every. Son increase hair certain yeah build indeed. End everybody moment drug follow upon.,Bradley and Sons,"67d29256-e3a2-4e71-ac54-6bbb76e08ac7",Brandy Perez,"Author last share assume candidate. More idea quite mention. Nor change ground discussion receive here size.
Professor source market thus sound visit morning. Most former career assume.",false,Service B,be486d9a-3201-45fe-98d4-8f2f39568712,12
15,Trevino-Hicks,Existing Business,Cold Call,68150.04,2024-02-10,Prospecting,91.44,51913.56,"Loss marriage indeed industry job. Both either spring why seven.
Perform husband pull animal. Skill but administration least develop. Each hot compare serve.
Sometimes teacher we.","7284d13b-b624-4816-b34e-7f0e6041ca57",Follow-up,Competitor A,Delayed,"Book organization such order economy official.
Physical teacher reduce direction work themselves. Campaign vote road process main miss. Keep pick industry degree recently.
For trade tend.","Process so less have actually return large. Among raise late record both.
Lead rock bed blue second.
High herself yard. Population probably up light.",Holmes Group,"6f734727-4187-4f33-83ea-61c26b732acd",Andrew Villegas,"Them improve quite single back free. Leader country reach surface go.
Positive meeting interesting design nothing. Participant participant nearly easy past police.",true,Service A,"65a868d9-23ea-4f3d-a8ef-08448569ca71",13
16,"White, Ellis and Hall",Existing Business,Organic Search,31623.14,2024-06-10,Qualification,75.56,14677.58,"Factor single prepare compare industry official certain top.
Stuff Mrs under analysis avoid site itself check. About able fine city knowledge.","2f33bc0f-abe2-4b03-99e4-9f32d298362a",Initial Inquiry,No Competition,Delayed,"Democrat several lawyer agreement low young. Resource dark piece discover several.
Positive argue science right through. Item draw brother attorney claim before serve.",Treat with finish eye idea cover successful action. Age gun culture control son such run. Relationship quality technology air.,"Davis, Jackson and Gray","732babe9-82f0-485f-8a23-2d45453d602e",Ian Waters,"Throw star how see music central. Matter well glass whose.
My country reach would whom as. Mention kind arm red customer trip evidence dream.",false,Product B,dda76627-36ac-420b-b8be-900f4beca72f,14
17,Patterson and Sons,New Business,Social Media,54393.32,2024-02-16,Prospecting,25.53,67374.48,"Step heart our explain. Third opportunity understand.
Fact much energy activity list. Name live right kitchen send arrive. Increase blue American performance able style citizen.",e2485bf1-db9f-41a2-a1e4-40a277ba567c,Follow-up,No Competition,Pending,Animal position magazine when energy. Consider plan responsibility whom position become say table.,"Cell leg spend tonight hair. Edge same another unit page out. Beat hand accept bar record realize event.
South which let fight pressure itself. Both your serious rate environmental property man.",Jones and Sons,d969f893-aa59-4ebe-9fd5-0f7e89eee5de,Michelle Shepard,Receive day act early civil particularly. Of detail total. Home on can vote attorney nor focus.,false,Service A,"67f1beb5-2eb8-4a3d-a6c5-5b51a499ab76",15
18,Powell-Nguyen,New Business,Online Form,51782.52,2024-11-11,Proposal,84.59,77760.69,Receive free expert site kitchen perhaps church. Operation increase common message main. Wonder herself authority recently cover window down.,"8a5d98a9-2167-4197-85c3-86b8d7c1f226",Initial Inquiry,No Competition,Pending,"Standard research air movement star member tough low. Such single commercial woman owner music herself. Rise recent what vote born sister effect.
West force cost to compare evening out.","Outside computer yet mean. Brother order fine out key financial fill. Throughout begin safe moment measure office.
During feeling left film wonder career fast. Happy color card career.",Bruce-Cox,fed969fa-3617-4a9a-b937-12b979e32394,Jennifer Ayers,"War issue former cold radio. Decide turn image likely available somebody company bit.
Picture hold receive. Miss increase staff organization cup. Call food stock bank away walk.",true,Product C,"917d0d11-b1e0-420a-9174-185635e68190",16
19,Gould and Sons,New Business,Online Form,33391.69,2024-10-31,Negotiation,34.19,67169.84,"Say color list know seven later.
Tax different strategy understand degree increase none ok. Land money have born. Cause effect table suddenly.
Other lose what small could move.","73b20df5-4242-4181-9e97-3c3f36c6ee9e",Meeting Scheduled,Competitor A,Pending,"Trip stay over police evening source follow. Agreement fall ask hard off.
Soldier imagine writer history. Radio property commercial human again doctor. Capital rule personal.","Leader to event response artist. Main work scene economy.
Table year along bring.
Determine popular simple stuff decide represent. Us paper language senior cover this.",Daugherty and Sons,"045e072f-8ccb-48cf-aea6-252754b4e5e6",David Oliver,Kitchen follow option seat big black heavy. Method necessary interview different finally partner sense kid. Beat team election it single box cup. Beat group report suddenly upon.,true,Service A,c43557ca-7736-4eac-a013-3b5527c2a597,17
20,Gonzalez Ltd,Referral,Trade Show,60947.67,2024-09-23,Negotiation,87.07,24335.55,"Father ball after government over either reveal ability.
Nation kitchen training those market site. Hand name family attack kind marriage. Thousand develop age scientist measure air practice.",a65e1a75-7295-4653-b5d1-a938831b25d9,Contract Sent,No Competition,In Progress,"Remain indeed deal pass hold economy financial at. Peace way election eye though.
Nor lot group answer. Dark serve address buy.","Little local though after truth. Reality wrong firm board exactly close.
Few leader shoulder radio. Improve time key rock need story everybody. Star really discuss service usually reflect entire.",Hall Group,cd273624-13e4-4c82-97c7-3246344155cb,Sarah Goodwin,"Consumer care recent this save rise case.
Audience apply experience. Much both issue follow beyond. Provide still adult situation light stage.",true,Product C,c9fb2376-6285-4b46-97d7-045aa81c2d1e,18
21,"Jones, Peters and Roy",Referral,Customer Referral,64250.24,2024-09-10,Qualification,61.09,22646.78,"Color prevent movie high. Well growth book too.
Structure despite interesting impact town shoulder. Four act hair. Into film base.",be90a3c6-0525-4f47-a3a0-46834f73f367,Demo Presented,No Competition,In Progress,"Amount outside your land call. Poor well director tough respond plan.
Serious pay world smile cup. General sport relate over.","Expert side talk half raise away crime. Big television figure policy deep.
Event administration wide sit involve although never. Return enough stock management bank themselves. Run push much bit.",Franco Ltd,"0459417e-e9a9-4dce-9915-6fa9d478f8f8",Jennifer Hall,Bar even that. International subject surface middle. Question where black consumer current.,false,Product C,d43e42b9-4864-4be1-8a25-053ad702761e,19
22,Wolfe-Jimenez,Partnership,Cold Call,19668.18,2024-05-11,Prospecting,1.01,33999.26,"Figure simply discuss keep growth firm bag. Voice partner main hour. Sing why rock author newspaper.
Chance interest compare song me. Discover picture can imagine body fear kid.",fde2ac69-a9b4-424a-a206-fa8db55fd270,Contract Sent,Competitor C,In Progress,Choice reality last hit affect can. Decision take station who itself them write.,"Space their trade usually operation. Choose run ok may. Commercial early rise population information reduce stage past.
Democratic film both might avoid scene.","Hunt, Lee and Johnson",c54960de-53d7-4092-adbf-98485a6078a4,Andrew Brown,"Reality trip student wish. Arrive use card large.
Learn it drop perform Mr interesting. Ability social whole.
Later eye fly media. Face when then together.",false,Service B,"3c910535-709b-4c96-b27f-30d847a31191",20
23,"Howard, Smith and Bowman",Existing Business,Website Inquiry,28579.37,2024-03-19,Proposal,10.87,48885.38,"Material his need toward star voice. Trip Mr can determine ten goal food challenge.
Role just rest heart we customer which. Yard every speak network.","8014ede7-8148-490f-9289-7704838df93f",Initial Inquiry,Competitor B,Completed,"Lot south thank writer century. Record hope rest person old theory.
Treat bill entire range program just. Fight water current news behavior. Cold despite billion compare dinner culture above.",Sound crime gun. Because method safe against tend. Character long deal three floor tough. Size skill some health reach.,Lowery-Sanders,"5f8a3d57-011a-415e-bd01-9885611e4957",Mark Holmes,Rate couple affect many certainly never message truth. Born safe safe popular. Space ago style feel someone low.,true,Product C,e9c06473-e034-4741-8df3-11ad7c815b26,21
24,"Hudson, Gonzales and Ortiz",Partnership,Advertisement,25657.68,2024-11-07,Prospecting,15.50,42546.23,"Truth heavy race doctor require stop. My huge only want quality gas financial.
Teach soon wall camera. Represent pay share avoid feeling upon.",d10db4f9-f4be-46e5-a37a-cf109129b969,Demo Presented,No Competition,Delayed,"Air west anyone. Everything economic beautiful common music. Social thank upon daughter.
Happen management wrong especially note production. Other do beyond coach.
Federal task or room film.",Onto charge many behavior cut must other. Age own probably strong writer simple majority.,"Smith, Bowman and Flores",e18a7e38-72b1-4382-beec-cacd381bf4d4,Marie Rivera,Raise answer send choice. Policy theory all serious. Kid past still clearly create order generation.,false,Service A,fa89280d-42ee-46b1-9510-e2f3cd524d2c,22
25,Wade PLC,Partnership,Email Campaign,16910.74,2024-07-15,Proposal,3.92,54849.49,"Piece voice over future effect. Or miss avoid institution continue thousand.
Happy cup once lose describe account star. He may say southern kind phone.","10aeba66-7a90-4bcf-ad30-087d8522fc0b",Demo Presented,No Competition,Pending,"Recent attention decide notice how education. Power meeting sure able head. Whole list try since.
Candidate who left consider. Present nation build power finally. Myself kind special hear set once.","Industry continue professional there give. National trial throughout someone beautiful.
Summer get such increase. Reality behind mouth make chair someone.","Anderson, Smith and Nguyen",bd9f8464-947c-4d86-b93f-e91c3a0a482e,David Butler,Impact western check they. Quickly thought father again.,true,Service A,"14d57b2e-4c7d-4b10-94b8-bc55792aa215",23
26,Oconnell-Williams,Referral,Website Inquiry,65190.17,2024-07-11,Closed Lost,54.22,30349.23,"Region very reveal record others Congress. Really job they.
Somebody religious choose student. Know four now pretty. Someone action rate.",de394e30-b6cd-4a24-9bad-763cc86544cf,Contract Sent,No Competition,In Progress,"Science same indicate. Same check suffer sister serious song. With social board per member north.
Practice brother I smile rather write rate four.","Financial myself fill heart. Add will week book exist food year night. Tv make week alone.
Quality place wish another practice measure perform. Lawyer big chair upon style.",Edwards Ltd,befd54cd-fb8a-4281-b4b3-8388f28126ca,Jennifer Gonzalez,"Join like better act former what. Thank risk now. Event push billion.
Family hope blood less whole.",false,Service B,"21df536f-6b9a-4d60-b1d2-a80e13bf0c95",24
27,Cooper-Byrd,Referral,Cold Call,43195.72,2024-03-21,Prospecting,62.38,59140.67,"Visit policy enough month. Different town region know military accept.
Start not line message oil. Interesting beyond his other throughout. West door training certainly.","1910180b-3004-4836-a787-bdd8cc27a590",Contract Sent,Competitor A,Delayed,"Research remain ok special once. Modern thousand present field democratic certain.
Former than crime money. Just but along rule final computer near.","Agreement unit break either.
Manage arrive record interview new Democrat read. Capital chance small south quite writer before. Sometimes speak head we.",Forbes Inc,"78485bd1-bae4-4d87-81ca-7801fe8421db",Alexis Schroeder,Board beat also family notice teacher. Agent wall plant such activity social. Model carry customer. Long perhaps appear rate.,false,Product A,"7d1c527b-900e-4d16-8e5d-1ff02a7142dd",25
28,Pittman Group,Partnership,Trade Show,40507.36,2024-10-04,Negotiation,95.32,32834.58,Prove owner from analysis. War sign candidate road painting seven. Fall measure rich.,"7d6d92a8-ae85-441b-b2cd-9865209a91f7",Follow-up,Competitor C,Completed,"Admit all of street pay sure. Heart family military member particular field station. Store news alone.
Bar relate drop. Any industry husband talk reason. Whatever discuss every race up.","Officer scientist suggest. Night church production stage own second.
Newspaper less with itself play however. Reflect home focus player whatever people what. Yes and myself bar serious.",Mitchell Group,"51dcfc6e-de7f-4899-816f-9793fb288e98",Tammy Holland,"World cultural current mention book local. Trouble cover son offer benefit wrong make.
Light concern population class necessary outside figure.",false,Product A,"1f56cf02-67bb-4bef-b638-98a7646988f2",26
29,Ward LLC,New Business,Cold Call,86085.44,2024-10-22,Closed Won,80.92,21761.50,"Marriage market way example year. One receive fight to son grow.
Drug claim answer forward organization former. Food pattern name election admit side. Society area speech yet great.",a286a40d-6342-4793-9cf9-64c6cfcf7185,Demo Presented,No Competition,Delayed,Charge his key industry get forget. Power send voice lawyer. Deal why phone once. Commercial summer rise somebody training trade give.,"Attorney her piece question city remember maybe. System upon only painting.
Father economic everyone suddenly him expert. Woman unit agency require offer especially project. Board attack continue.",Brown LLC,"386a9657-60c2-4195-ba60-1eb1444c87c5",Zachary Bradley,"Manager recently especially maintain.
Power imagine century. Employee dark lawyer enjoy oil Congress miss single. On happen information security above meeting story.",false,Service A,b10f2e95-a289-46d1-8b88-4d6ca4f4ee0c,27
30,Miller-Jarvis,Existing Business,Trade Show,52986.47,2023-12-26,Proposal,43.34,36055.95,Lead trouble whole capital to sometimes city. Lay media wide decade.,"3ca76edd-4e6c-4b98-8ce7-159f961213bc",Demo Presented,Competitor B,Delayed,Window manage former bed health tax. Want left bad community however.,"Production on federal risk turn. Media daughter history learn market along.
Kitchen attention major their edge another. Operation sell plan ask not morning.",Walsh Inc,"83ae586a-6ca8-4f08-8708-595dd44c52a8",Valerie Cortez,"Open author represent. Six note nation nor pretty scene with. News law across nearly.
Outside early send describe.
Teacher season use. Development another baby north. Past hospital should sing PM.",false,Product C,c06e6ad1-85d0-43ee-a770-5ad89fb9f2b5,28
31,Fuentes-Taylor,New Business,Email Campaign,80098.44,2023-12-16,Closed Lost,31.71,40941.46,"Now pressure never ready one have Republican. We leave term up young.
Force ever serve again wrong. Offer test fall role foot key.
Past kitchen soon cup ten area ten. Story into entire center.","506af5f6-56bc-4cdc-8e81-defecc07c0bb",Initial Inquiry,Competitor A,Pending,Sport choice box group stuff magazine. Film work minute speech. Sort language science study city system relationship. Key rock everybody option son give.,"Anyone agree minute education until lead too.
Give test note ask. Morning move keep true cut of design. Character seat response push how trouble degree century.",Williams PLC,"61b4c580-79d0-4688-a9b3-2f56236e32ed",William Shaw,Identify son especially indeed when especially get. Consumer material wide continue thus want. Government week cover its fly last.,false,Product C,"945a5339-9e82-43a4-9659-32fdac36ef01",29
32,"Arnold, Harrison and Wagner",Referral,Cold Call,97457.26,2024-04-13,Qualification,74.68,38710.01,"Stuff bed outside into. Travel against firm safe work customer agreement.
Which happen lot bit provide sister fish question. The piece three simple down. Will husband commercial at.",bc0b88a2-79da-4796-ac03-03293ec99fae,Contract Sent,Competitor B,In Progress,Each speak yes main people. Yeah themselves fly thus move forward hundred whom. Specific interest opportunity eye.,Push across wait. Poor order evidence dinner once. You possible partner run half home up direction.,Powers Inc,bce4be6e-60f2-424a-a40e-09e0622d6d03,Kristen Johnson,"Finally indicate address face. Number wide character west become have. Understand notice key.
Amount agent least. Agree west name thousand hand technology.",false,Product C,f2c4928d-04d5-4675-977a-1c6f1afe8e64,30
33,Cardenas-Cantrell,Referral,Social Media,53824.90,2024-06-14,Closed Lost,2.53,51632.87,Local education control increase require use explain. Visit speech friend official. Blood nature somebody.,"04893e71-28e4-4599-9425-92cedc5e8be4",Demo Presented,No Competition,Completed,Most size expect action agreement tell perform. This anything including lot agency study race. Clear thing foreign police to system write.,"Always sit sport while collection across.
Not necessary speech nearly machine sit involve. Mrs six kitchen together simple thus successful. Difference site give rest.","Allen, Melton and Rhodes",b78fb5fc-23f3-4705-b2de-d14a3dccf0a3,Adam Thomas,"If six walk ready which condition attention. Summer here detail question. Center score say yeah hear.
Democrat support process fear in little. Financial Mrs provide pull box.",true,Product B,ef3787ee-cb24-4b55-8bce-670aa542f8f9,31
34,Bonilla-Wallace,Partnership,Website Inquiry,87233.90,2024-05-16,Negotiation,72.81,59800.52,"Close goal easy course enough. Nothing thought should major hot. Star near simple act PM.
Pm including behind pay discover. Treatment before similar same morning. Stand free industry.","150a0e1f-6a4f-4f9e-b7f5-cd1bdec1a56b",Contract Sent,No Competition,Completed,"Share compare fine fact cover management. Land measure especially today should thing form certainly.
Own fear vote.","Doctor south former tough agency. Plant their player pass item. Player value notice significant between. Because represent wonder gun compare safe help.
Respond hit fish run over.","Becker, Buck and Thompson",bae0a0cf-5051-422a-8f21-9c940679f564,Shawn Brown,Occur wife side safe agreement everyone speak trouble. Foot contain adult message themselves wonder but. Yeah administration cost boy if.,false,Product A,"08d692a7-14e0-40af-9862-f5df9cb2f750",32
35,Nguyen Group,New Business,Event/Seminar,11203.50,2024-06-13,Prospecting,51.50,94558.36,Exist create detail success first parent trouble strong. Challenge television example dream happen cup as. Staff reality American section bad lot sort value. Cause decade dream major health prepare.,"33376fa0-7e1b-4290-a54a-21f6759b4450",Demo Presented,No Competition,Completed,"There special past talk fill place. Try wife move kid. Class stage station Mrs. What most another speech tonight from.
Painting support guess. Give practice different pull whether property issue.","Service action above hour drive member. Contain air end improve baby under operation.
However bring win rise nice. Never could walk customer home court.","Kelly, Hall and Alexander",aa665c1d-3d5c-43be-b23b-7e5269a18e15,Dawn Bean,Tree line ball security paper source everything organization. President particular state program family item true campaign.,false,Service A,bbf4fe6e-b394-4ce6-8eaf-097376151df2,33
36,"Turner, Martinez and Adams",Referral,Event/Seminar,64785.50,2024-06-25,Negotiation,27.76,98774.54,"Happy move go safe certainly true property career. Else heart everything rate miss.
Lawyer front job billion customer. Including lose learn.","6c359787-05bb-47f0-af29-1bdbc70644e8",Demo Presented,Competitor C,Pending,"Let rich difficult particular. Every week need job.
Reduce similar impact expect. Above newspaper still artist.
Ability upon half material. Possible senior reach.","Despite development leader under.
Question push rather. Teacher tough tell until little might. Cover ball fund land.
End baby if military. Require inside among teach candidate control.",Smith-Ortiz,df940b55-e39a-4469-8711-c842c9b218a4,Michael Brown,"Figure edge nation. Body car gas skill concern pay thing. At lead often.
Push expert plan group. Crime anyone some night money subject. Strategy check know our.",true,Product A,e7058bc7-3e17-479b-a79b-1abd2dfb7eed,34
37,Allen Ltd,New Business,Event/Seminar,44498.65,2024-03-22,Closed Lost,84.10,54058.23,Catch foot agreement also good every various. Game season specific hear. Most and court south perform fall.,c9f09cc8-74a3-408a-8ab7-089ce4a73e6b,Initial Inquiry,Competitor C,Delayed,"Loss simple its ago. Cost study actually himself.
Owner ask market who strong. Remember with of cell enjoy.","Drop field recently skin. Success which stand bad ahead.
Treat determine threat card imagine. Majority fire nice oil pick true stand site.",Jenkins LLC,"204bf24d-28a6-471a-a6be-d8f1a4fea0d0",Heather Martinez,Figure forward the little family meet throw. Mention continue stay collection fire smile to. Idea east manager dog say energy. Plan but tax successful space book.,false,Product A,d7f3cec7-529b-4b63-94d3-788f130473f9,35
38,"Brown, Gibbs and Henry",Referral,Event/Seminar,80149.07,2024-09-09,Prospecting,14.44,15518.46,"Ago when maintain civil when maybe. Generation foreign try kind eight experience. Vote describe art hot.
Standard prevent place office sort force laugh method. Author only argue it.","49c8e21c-572a-444d-bcbd-99ce87ab0d2b",Contract Sent,Competitor B,Delayed,Difference television success he experience. Response eight way daughter project minute. Majority news environmental administration so western national. Happen out check why.,"West might say establish structure. Recently seem time.
Likely he nor product she. Within nor test dinner instead grow today. Line professional receive personal.",Jones-Richards,"7e8e6dd3-72c7-45f4-8ec0-7afae994bc1d",Kelly Wilson,"Section end thus include.
Something standard beyond ahead carry free. Save fight center structure. Would hit painting model health over.",true,Service A,"837eb86b-7d53-4f9e-9623-4b0860779c0c",36
39,"Phillips, Jimenez and Ramirez",Partnership,Online Form,55224.96,2024-05-30,Proposal,92.69,20258.52,"Free much wonder somebody. Eight personal method explain join.
Tough should professional treatment camera main open game. Art quality away.
Easy run wait whatever. Stock affect high.","135f9ed9-8ca6-465e-9cf2-2fe5b27a3bb0",Initial Inquiry,Competitor A,Delayed,"None finish again act explain maybe speech special. Political worker main arrive laugh. Believe which employee.
Player rich require series partner both.","Activity fish grow either board enough wait. Structure American international actually.
My meeting operation middle. Student reduce across while executive before.",Edwards-Miller,"2bbf1328-f251-4fa3-9e6e-5ae8aa6db083",Briana Lopez,"Born factor indeed you above entire air. North by discover dog since certain. Nation call before size form agent.
Common way likely find send term office. Consumer hot up tell.",false,Service A,"65974861-c92b-415c-a3e2-711d54268049",37
